Analyzer 8.3 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/analyzer-8-3-admin-guide.pdf,Admin Guide,English,Analyzers,Analyzer,Firewall Management and Analytics,Analyzer,"This administrative guide provides the information you need to configure and use SonicWall Analyzer for monitoring SonicWall network security and other appliances. SonicWall Analyzer creates dynamic, web‐based network reports showing all activity on monitored appliances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti Spam Desktop 6.7.0 Quick Start Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/anti-spam-desktop-6-7-0-quick-start-guide.pdf,Quick Start Guide,English,Anti-Spam Desktop,6.7.0,Email Security,Email Security (on-premises),"This Quick Start Guide provides information about the SonicWall™ Anti‐Spam Desktop 6.7.0, including downloading SonicWall Anti‐Spam Desktop, entering the license key, and receiving SonicWall support.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capture Client 2.0 Operations,https://techdocs.sonicwall.com/wp-content/uploads/pdf/capture-client-2-0-operations.pdf,Operations Guide,English,Capture Client,Capture Client,Endpoint Security,Capture Client,"This document describes how to configure and deploy the SonicWall Capture Client, a framework for managing and enforcing policy across endpoints in your IT infrastructure. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capture Client 1.5 User Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/capture-client-1-5-user-guide.pdf,User Guide,English,Capture Client,Capture Client,Endpoint Security,Capture Client,This document is the Users Guide for the SonicWall Capture Client; a unified client offering that delivers multiple client protection capabilities through a unified interface.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud App Security (SaaS Security) Advanced Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/cloud-app-security-saas-security-advanced-administration-guide.pdf,Admin Guide,English,Cloud App Security,cloud-app-security,Cloud Security,Cloud App Security,This administrative guide provides the information you need to get started with SonicWall Cloud App Security (SaaS Security).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud App Security (SaaS Security) Basic Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/cloud-app-security-saas-security-basic-administration-guide.pdf,Admin Guide,English,Cloud App Security,cloud-app-security,Cloud Security,Cloud App Security,This document is the basic administrative guide for SonicWall Cloud App Security (SaaS Security).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud App Security (Shadow IT) User Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/cloud-app-security-shadow-it-user-guide.pdf,User Guide,English,Cloud App Security,cloud-app-security,Cloud Security,Cloud App Security,This document is the basic user's guide for SonicWall Cloud App Security (Shadow IT).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local CFS 1.0 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/local-cfs-responder-1-0-admin-guide.pdf,Admin Guide,English,Content Filtering,content-filtering,Firewalls,SonicOS,This administrative guide describes the interface and navigation for SonicWall Local Content Filter Service Responder (Local CFS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Filtering Client 3.1 Agent Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/content-filtering-client-3-1-agent-guide.pdf,Agent Guide,English,Content Filtering,content-filtering,Endpoint Security,Content Filtering Client,This document is the agent guide for SonicWall Content Filtering Client 3.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Filtering Client 3.1 Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/content-filtering-client-3-1-getting-started-guide.pdf,Getting Started Guide,English,Content Filtering,content-filtering,Endpoint Security,Content Filtering Client,"This document will help you get started in using SonicWall Content Filtering Client 3.1 and how to configure, deploy, and manage main features. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Filtering Service 4.0 Upgrade Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-content-filtering-service-4-0-upgrade.pdf,Upgrade Guide,English,Content Filtering,content-filtering,Firewalls,SonicOS,This Upgrade Guide provides instructions for upgrading your network security appliance from previous versions of SonicWall Content Filtering Service (CFS) to the latest version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
